"face","suit","value"
"ace","clubs",1
"two","clubs",2
"three","clubs",3
"four","clubs",4
"five","clubs",5
"six","clubs",6
"seven","clubs",7
"eight","clubs",8
"nine","clubs",9
"ten","clubs",10
"jack","clubs",10
"queen","clubs",10
"king","clubs",10
"ace","diamonds",1
"two","diamonds",2
"three","diamonds",3
"four","diamonds",4
"five","diamonds",5
"six","diamonds",6
"seven","diamonds",7
"eight","diamonds",8
"nine","diamonds",9
"ten","diamonds",10
"jack","diamonds",10
"queen","diamonds",10
"king","diamonds",10
"ace","hearts",1
"two","hearts",2
"three","hearts",3
"four","hearts",4
"five","hearts",5
"six","hearts",6
"seven","hearts",7
"eight","hearts",8
"nine","hearts",9
"ten","hearts",10
"jack","hearts",10
"queen","hearts",10
"king","hearts",10
"ace","spades",1
"two","spades",2
"three","spades",3
"four","spades",4
"five","spades",5
"six","spades",6
"seven","spades",7
"eight","spades",8
"nine","spades",9
"ten","spades",10
"jack","spades",10
"queen","spades",10
"king","spades",10
