Initial_Speed,Final_Speed,Speed_Change,Car_Type,Weather,Location,Observer,Date,Source
30,40,1,Sedan,,30th st,Basil,,speed_counting_cars.xlsx
32,34,1,SUV,,30th st,Basil,,speed_counting_cars.xlsx
35,35,0,Sedan,,30th st,Basil,,speed_counting_cars.xlsx
31,31,0,SUV,,30th st,Basil,,speed_counting_cars.xlsx
32,32,0,SUV,,30th st,Basil,,speed_counting_cars.xlsx
31,31,0,Truck,,30th st,Basil,,speed_counting_cars.xlsx
31,31,0,SUV,,30th st,Basil,,speed_counting_cars.xlsx
28,28,0,SUV,,30th st,Basil,,speed_counting_cars.xlsx
28,28,0,SUV,,30th st,Basil,,speed_counting_cars.xlsx
28,30,1,SUV,,30th st,Basil,,speed_counting_cars.xlsx
29,29,0,Sedan,,30th st,Basil,,speed_counting_cars.xlsx
30,30,0,SUV,,30th st,Basil,,speed_counting_cars.xlsx
31,31,0,Sedan,,30th st,Basil,,speed_counting_cars.xlsx
28,29,1,Sedan,,30th st,Basil,,speed_counting_cars.xlsx
36,35,0,Truck,,30th st,Basil,,speed_counting_cars.xlsx
31,34,1,SUV,,30th st,Basil,,speed_counting_cars.xlsx
29,29,0,Sedan,,30th st,Basil,,speed_counting_cars.xlsx
34,33,1,SUV,,30th st,Basil,,speed_counting_cars.xlsx
34,34,0,Truck,,30th st,Basil,,speed_counting_cars.xlsx
27,27,0,Sedan,,30th st,Basil,,speed_counting_cars.xlsx
30,32,1,SUV,,30th st,Basil,,speed_counting_cars.xlsx
32,32,0,Sedan,,30th st,Basil,,speed_counting_cars.xlsx
34,34,0,SUV,,30th st,Basil,,speed_counting_cars.xlsx
28,28,0,SUV,,30th st,Basil,,speed_counting_cars.xlsx
22,22,0,Truck,,30th st,Basil,,speed_counting_cars.xlsx
24,24,0,Sedan,,30th st,Basil,,speed_counting_cars.xlsx
27,27,0,Sedan,,30th st,Basil,,speed_counting_cars.xlsx
36,36,0,SUV,,30th st,Basil,,speed_counting_cars.xlsx
32,32,0,Sedan,,30th st,Basil,,speed_counting_cars.xlsx
30,31,1,SUV,,30th st,Basil,,speed_counting_cars.xlsx
30,30,0,SUV,,30th st,Basil,,speed_counting_cars.xlsx
25,27,1,SUV,,30th st,Basil,,speed_counting_cars.xlsx
30,30,0,Sedan,,30th st,Basil,,speed_counting_cars.xlsx
36,33,1,Sedan,,30th st,Basil,,speed_counting_cars.xlsx
34,35,1,Sedan,,30th st,Basil,,speed_counting_cars.xlsx
34,32,1,Sedan,,30th st,Basil,,speed_counting_cars.xlsx
35,30,1,SUV,,30th st,Basil,,speed_counting_cars.xlsx
35,38,1,Sedan,,30th st,Basil,,speed_counting_cars.xlsx
30,27,1,Sedan,,30th st,Basil,,speed_counting_cars.xlsx
29,31,1,Sedan,,30th st,Basil,,speed_counting_cars.xlsx
31,31,0,Sedan,,30th st,Basil,,speed_counting_cars.xlsx
31,33,1,Sedan,,30th st,Basil,,speed_counting_cars.xlsx
31,30,1,SUV,,30th st,Basil,,speed_counting_cars.xlsx
31,31,0,SUV,,30th st,Basil,,speed_counting_cars.xlsx
32,32,0,SUV,,30th st,Basil,,speed_counting_cars.xlsx
28,28,0,Sedan,,30th st,Basil,,speed_counting_cars.xlsx
36,35,1,SUV,,30th st,Basil,,speed_counting_cars.xlsx
33,33,0,Sedan,,30th st,Basil,,speed_counting_cars.xlsx
30,30,0,SUV,,30th st,Basil,,speed_counting_cars.xlsx
36,34,1,SUV,,30th st,Basil,,speed_counting_cars.xlsx
35,32,0,Sedan,,30th st,Basil,,speed_counting_cars.xlsx
36,34,0,Sedan,,30th st,Basil,,speed_counting_cars.xlsx
29,32,1,Sedan,,30th st,Basil,,speed_counting_cars.xlsx
30,30,0,SUV,,30th st,Basil,,speed_counting_cars.xlsx
31,32,1,Sedan,,30th st,Basil,,speed_counting_cars.xlsx
35,37,1,Sedan,,30th st,Basil,,speed_counting_cars.xlsx
32,32,0,SUV,,30th st,Basil,,speed_counting_cars.xlsx
29,30,1,SUV,,30th st,Basil,,speed_counting_cars.xlsx
33,35,1,SUV,,30th st,Basil,,speed_counting_cars.xlsx
28,28,0,Sedan,,30th st,Basil,,speed_counting_cars.xlsx
