Initial_Speed,Final_Speed,Car_Type
30,40,Sedan
32,34,SUV
35,35,Sedan
31,31,SUV
32,32,SUV
31,31,Truck
31,31,SUV
28,28,SUV
28,28,SUV
28,30,SUV
29,29,Sedan
30,30,SUV
31,31,Sedan
28,29,Sedan
36,35,Truck
31,34,SUV
29,29,Sedan
34,33,SUV
34,34,Truck
27,27,Sedan
30,32,SUV
32,32,Sedan
34,34,SUV
28,28,SUV
22,22,Truck
24,24,Sedan
27,27,Sedan
36,36,SUV
32,32,Sedan
30,31,SUV
30,30,SUV
25,27,SUV
30,30,Sedan
36,33,Sedan
34,35,Sedan
34,32,Sedan
35,30,SUV
35,38,Sedan
30,27,Sedan
29,31,Sedan
31,31,Sedan
31,33,Sedan
31,30,SUV
31,31,SUV
32,32,SUV
28,28,Sedan
36,35,SUV
33,33,Sedan
30,30,SUV
36,34,SUV
35,32,Sedan
36,34,Sedan
29,32,Sedan
30,30,SUV
31,32,Sedan
35,37,Sedan
32,32,SUV
29,30,SUV
33,35,SUV
28,28,Sedan
27,27,SUV
29,29,Sedan
26,26,SUV
26,26,Sedan
33,33,Truck
21,22,Sedan
32,33,SUV
31,31,Sedan
32,32,SUV
31,31,SUV
32,31,Sedan
35,35,SUV
33,31,Truck
31,30,Sedan
36,34,Truck
27,30,SUV
28,28,Sedan
29,30,Sedan
30,30,Sedan
35,32,Truck
31,31,SUV
31,31,SUV
32,32,Sedan
32,31,Sedan
28,28,SUV
29,30,Sedan
30,31,SUV
33,33,Truck
32,31,Sedan
30,31,Sedan
30,30,Sedan
29,30,Sedan
31,31,Sedan
31,31,SUV
27,28,SUV
30,31,Truck
29,30,Sedan
30,30,Sedan
29,29,SUV
34,34,Sedan
26,26,SUV
32,32,SUV
31,30,SUV
31,30,Sedan
29,28,Sedan
28,30,Sedan
29,30,SUV
27,27,SUV
36,36,Sedan
28,28,SUV
29,29,Sedan
31,31,Sedan
32,33,SUV
32,32,Truck
37,35,SUV
34,34,Sedan
28,28,SUV
29,29,Sedan
31,31,Sedan
30,30,Sedan
27,27,Sedan
29,31,Truck
33,33,SUV
31,32,Sedan
28,28,SUV
29,30,SUV
31,31,Sedan
30,30,Sedan
34,34,SUV
36,37,Sedan
30,30,Truck
31,31,SUV
27,27,Sedan
25,26,SUV
29,29,Sedan
30,31,SUV
31,31,Sedan
30,31,SUV
28,29,Sedan
29,29,Sedan
28,28,Sedan
30,31,SUV
31,31,Truck
29,29,SUV
28,29,Sedan
33,31,Sedan
30,30,SUV
29,29,SUV
27,27,Sedan
30,30,SUV
12,34,Sedan
40,36,Truck
26,34,Sedan
30,34,Suv
32,31,Truck
27,30,Suv
28,29,Suv
28,32,Suv
31,30,Truck
30,34,Sedan
15,30,Sedan
31,33,Truck
34,34,Sedan
31,31,Sedan
12,29,Sedan
14,33,Suv
29,28,Suv
27,31,Suv
26,35,Suv
34,35,Sedan
20,30,Suv
11,30,Truck
36,38,Truck
33,33,Suv
31,37,Sedan
14,26,Truck
25,25,Suv
31,33,Suv
27,28,Suv
33,34,Suv
36,34,Suv
20,26,Sedan
34,36,Sedan
19,28,Truck
28,33,Sedan
38,37,Suv
30,34,Suv
20,32,Suv
26,35,Sedan
29,30,Suv
28,27,Suv
27,30,Sedan
27,27,Truck
33,34,Suv
34,34,Sedan
34,35,Truck
21,23,Suv
19,31,Sedan
41,40,Suv
21,34,Sedan
25,28,Suv
37,37,Sedan
31,31,Suv
27,28,Suv
36,40,Suv
28,38,Suv
19,24,Suv
25,26,Suv
32,33,Sedan
36,36,Suv
23,29,Truck
19,30,Truck
25,26,Suv
21,25,Suv
30,30,Suv
29,27,Sedan
25,27,Truck
28,30,Suv
30,31,Sedan
35,37,Suv
32,33,Suv
25,27,Suv
26,26,Suv
28,30,Suv
27,32,Suv
NA,31,Sedan
NA,32,SUV
NA,30,SUV
NA,30,SUV
NA,31,Van
NA,20,Sedan
NA,31,Truck
NA,29,Sedan
NA,27,Truck
NA,34,Sedan
NA,33,Sedan
NA,21,SUV
NA,30,Sedan
NA,36,Truck
NA,33,Truck
NA,21,Sedan
NA,26,Sedan
NA,10,SUV
NA,30,Truck
NA,31,Truck
NA,31,Truck
NA,35,Truck
